App > Industry/Discipline > Module,Simulation Name,Duration (Min),Learning Objective,Standards Body > Category,Standards
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Introduction to 90-Degree Stub-Ups,25,Trainee will select and wear correct PPE.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Introduction to 90-Degree Stub-Ups,25,"Trainee will demonstrate how to calculate, measure, mark, and bend a 90-degree stub-up.",OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Introduction to 90-Degree Stub-Ups,25,Trainee will perform and check a bend for a 90-degree stub-up.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Introduction to 90-Degree Stub-Ups,25,Trainee will prepare EMT and bender for 90-degree stub-ups.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Introduction to 90-Degree Stub-Ups,25,Trainee will understand key terms and concepts of 90-degree stub-ups.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Introduction to Offsets,30,Trainee will select and wear correct PPE.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Introduction to Offsets,30,Trainee will perform an offset bend.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Introduction to Offsets,30,Trainee will perform and evaluate an offset bend.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Introduction to Offsets,30,Trainee will evaluate an offset bend.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Introduction to Offsets,30,Trainee will orient to tasks and prepare materials for an offset conduit bend.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Preparing and Performing Offsets,30,Trainee will select and wear correct PPE.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Preparing and Performing Offsets,30,Trainee will bend conduit around an obstacle.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Preparing and Performing Offsets,30,Trainee will calculate and perform an offset bend around an obstacle.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Preparing and Performing Offsets,30,Trainee will measure an obstruction to bend conduit around it.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Preparing and Performing Offsets,30,Trainee will mark conduit to bend around an obstacle.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Preparing and Performing Offsets,30,Trainee will check conduit bend around obstacle.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 1,30,Trainee will select and wear correct PPE.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 1,30,Trainee will demonstrate how to run conduit between boxes of the same heights.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 1,30,Trainee will install conduit between boxes of same height.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 1,30,Trainee will bend conduit to install between boxes of same height.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 1,30,Trainee will cut conduit for install between boxes of same height.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 1,30,Trainee will measure and punch holes in studs to install conduit between boxes of same height.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 1,30,Trainee will understand measurements for horizontal conduit install.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 2,29,Trainee will select and wear correct PPE.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 2,29,Trainee will demonstrate how to run conduit between boxes of different heights.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 2,29,Trainee will install EMT between device boxes of different heights.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 2,29,Trainee will bend and cut EMT to back-to-back 90 degree bends and correct stub lengths.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 2,29,Trainee will secure EMT vertically and horizontally.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 2,29,Trainee will calculate measurements for bending and cutting conduit to be installed between boxes of different heights.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 3,32,Trainee will select and wear correct PPE.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 3,32,Trainee will demonstrate how to run conduit between boxes with obstructions.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 3,32,Trainee will install EMT between device boxes with obstructions.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 3,32,Trainee will bend and cut EMT to back-to-back 90 degree bends and correct stub lengths.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 3,32,Trainee will measure and punch holes in studs to install conduit between boxes with obstructions.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 3,32,Trainee will secure EMT vertically and horizontally.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 3,32,Trainee will calculate measurements for bending and cutting conduit to be run between boxes with obstructions.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal MC 1,30,Trainee will select and wear correct PPE.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal MC 1,30,Trainee will demonstrate how to run a horizontal MC between boxes of the same height.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal MC 1,30,Trainee will install MC between device boxes of same height.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal MC 1,30,Trainee will secure MC vertically and horizontally.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal MC 1,30,Trainee will measure and punch holes in studs to run a horizontal MC between boxes of the same height.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal MC 3,20,Trainee will select and wear correct PPE.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal MC 3,20,Trainee will demonstrate how to run a horizontal MC between boxes with obstructions.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal MC 3,20,Trainee will install MC between device boxes with an obstruction.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal MC 3,20,Trainee will select and prepare MC for installation between boxes with obstructions.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal MC 3,20,Trainee will secure MC vertically and horizontally.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal MC 3,20,Trainee will plan a route for MC installation between boxes with obstructions.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Installing HR & OH 2100 Boxes,29,Trainee will select and wear correct PPE.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Installing HR & OH 2100 Boxes,29,"Trainee will demonstrate how to safely install HR and OH 2100 boxes using actuated fasteners, wedge anchors, and beam clamps.",OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Installing HR & OH 2100 Boxes,29,Trainee will install OH 2100 box.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Installing HR & OH 2100 Boxes,29,Trainee will install HR box with wedge anchor.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Installing HR & OH 2100 Boxes,29,Trainee will install HR Box with I-beam clamp.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Installing HR & OH 2100 Boxes,29,Trainee will identify hazards to safely install HR and OH 2100 boxes.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead Branch Conduit 1,20,Trainee will select and wear correct PPE.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead Branch Conduit 1,20,"Trainee will demonstrate how to install EMT conduit that includes overhead supports and couplings, per specifications.",OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead Branch Conduit 1,20,Trainee will perform post-installation quality check.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead Branch Conduit 1,20,Trainee will label conduit with panel and circuit number.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead Branch Conduit 1,20,Trainee will install an overhead conduit clip to attach conduit to overhead allthread.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead Branch Conduit 1,20,Trainee will use overhead supports and couplings to install overhead conduit between two boxes.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead Branch Conduit 1,20,Trainee will support overhead conduit within 3 feet of each box and within 10 feet thereafter.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead Branch Conduit 1,20,Trainee will identify which circuits stay in a box and which continue on.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead Branch Conduit 2,19,Trainee will select and wear correct PPE.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead Branch Conduit 2,19,"Trainee will demonstrate how to install EMT conduit that includes overhead supports, couplings, and type-C conduit bodies, per specifications.",OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead Branch Conduit 2,19,Trainee will label conduit with panel and circuit number.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead Branch Conduit 2,19,Trainee will install an overhead conduit clip to attach conduit to overhead allthread.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead Branch Conduit 2,19,Trainee will install a condulet after every 100 feet or 360° of bends.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead Branch Conduit 2,19,"Trainee will use overhead supports, couplings, and type-C conduit bodies to install overhead conduit between two boxes.",OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead Branch Conduit 2,19,Trainee will support overhead conduit within 3 feet of each side.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead Branch Conduit 3,20,Trainee will select and wear correct PPE.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead Branch Conduit 3,20,"Trainee will demonstrate how to calculate, bend, and install EMT conduit that includes overhead supports, couplings, and type-C conduit bodies, per specifications.",OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead Branch Conduit 3,20,Trainee will cut and connect an offset to complete a branch run.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead Branch Conduit 3,20,Trainee will calculate measurements for bending an offset.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead MC Install 1,20,Trainee will select and wear correct PPE.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead MC Install 1,20,Trainee will confirm that the installation will not trigger punch list items.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead MC Install 1,20,"Trainee will demonstrate how to install an overhead MC, with a focus on installing the MC.",OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead MC Install 1,20,Trainee will identify which circuits stay in a box and which continue on.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead MC Install 1,20,Trainee will install MC into an overhead box.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead MC Install 1,20,Trainee will confirm correct layout for an overhead MC install based on a work assignment print-out.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead MC Install 1,20,Trainee will prepare MC for installation in an overhead box.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead MC Install 2,24,Trainee will select and wear correct PPE.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead MC Install 2,24,"Trainee will demonstrate how to install and support an overhead MC, with a focus on supporting the MC.",OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead MC Install 2,24,Trainee will support overhead MC 12 inches above each junction box and every 6 feet between two boxes.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead MC Install 2,24,Trainee will support overhead MC 12 inches above each junction box and every 6 feet between three boxes with different distances between boxes.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead MC Install 3,21,Trainee will select and wear correct PPE.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead MC Install 3,21,Trainee will demonstrate how to install an overhead MC when there is insufficient room to support the MC above the box.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead MC Install 3,21,Trainee will support MC that has been installed in the side of a box.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead MC Install 3,21,Trainee will install MC into the side of a box when appropriate.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead MC Install 3,21,Trainee will confirm that the installation will not trigger a punch list.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead MC Install 3,21,Trainee will prep MC for installation when there is insufficient room to support the MC above the box.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Single Conduit Install 1,32,Trainee will select and wear correct PPE.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Single Conduit Install 1,32,Trainee will demonstrate how to install single conduit that must be trimmed to meet elevation requirements and connect to an HR box present.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Single Conduit Install 1,32,Trainee will install bracket box and set up conduit install.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Single Conduit Install 1,32,Trainee will connect conduit to an overhead box.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Single Conduit Install 1,32,Trainee will measure and install single conduit to connect to an HR box.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Single Conduit Install 2,35,Trainee will select and wear correct PPE.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Single Conduit Install 2,35,Trainee will demonstrate how to install a single conduit that must have a 90-degree stub bent to fit a predetermined elevation and that may have an HR box present.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Single Conduit Install 2,35,Trainee will install a bracket box and set up conduit install with a 90-degree stub bent to fit a predetermined elevation.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Single Conduit Install 2,35,Trainee will measure and install conduit that must have a 90-degree stub bent to fit a predetermined elevation.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Single Conduit Install 3,34,Trainee will select and wear correct PPE.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Single Conduit Install 3,34,Trainee will demonstrate how to install a single conduit that must be extended in length to meet the predetermined elevation.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Single Conduit Install 3,34,Trainee will install bracket box and set up a single conduit install that must be extended in length to meet the predetermined elevation.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Single Conduit Install 3,34,Trainee will measure and install conduit that must be extended in length to meet the predetermined elevation.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Single Conduit Install 4,32,Trainee will select and wear correct PPE.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Single Conduit Install 4,32,Trainee will demonstrate how to determine elevation and alter a prefab conduit with 90-degree stubs to proper elevation when an OH box is present.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Single Conduit Install 4,32,Trainee will connect to overhead box with 90-degree stubs to proper elevation.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Single Conduit Install 4,32,Trainee will install bracket box and set up conduit install with 90-degree stubs to proper elevation when an OH box is present.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Single Conduit Install 4,32,Trainee will measure and install conduit with 90-degree stubs to proper elevation when an OH box is present.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Single Conduit Prefab Assembly,17,Trainee will select and wear correct PPE.,OSHA > OSHA-10: Construction > Subpart C: PPE,"CS.1926.28 > 
Walking-Working Surfaces and Personal Protective Equipment."
VTF-EC  >  Electrical Construction  >  Electrical Construction,Single Conduit Prefab Assembly,17,Trainee will demonstrate how to build a single conduit box bracket prefab device.,OSHA > OSHA-10: Construction > Subpart C: PPE,"CS.1926.28 > 
Walking-Working Surfaces and Personal Protective Equipment."
VTF-EC  >  Electrical Construction  >  Electrical Construction,Single Conduit Prefab Assembly,17,Trainee will install a connector into a junction box.,OSHA > OSHA-10: Construction > Subpart C: PPE,"CS.1926.28 > 
Walking-Working Surfaces and Personal Protective Equipment."
VTF-EC  >  Electrical Construction  >  Electrical Construction,Single Conduit Prefab Assembly,17,Trainee will install a junction box onto a bracket and mud ring.,OSHA > OSHA-10: Construction > Subpart C: PPE,"CS.1926.28 > 
Walking-Working Surfaces and Personal Protective Equipment."
VTF-EC  >  Electrical Construction  >  Electrical Construction,Single Conduit Prefab Assembly,17,Trainee will mount an assembled device to wall studs.,OSHA > OSHA-10: Construction > Subpart C: PPE,"CS.1926.28 > 
Walking-Working Surfaces and Personal Protective Equipment."
VTF-EC  >  Electrical Construction  >  Electrical Construction,Single Conduit Prefab Assembly,17,Trainee will select and wear correct PPE.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Single Conduit Prefab Assembly,17,Trainee will demonstrate how to build a single conduit box bracket prefab device.,OSHA > OSHA-10: Construction > Subpart C: PPE,CS.1926.28 > Wearing of appropriate personal protective equipment.
